Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
940.5;941.0;941.0;941.0;941.5;941.5;941.5;944.7;944.7;944.7;949.7;949.7
949.7;957.8;957.8;957.8;962.4;962.4;962.4;966.0;966.0;966.0;970.4;970.4
970.4;979.7;979.7;979.7;986.7;986.7;986.7;986.2;986.2;986.2;990.7;990.7
990.7;997.1;997.1;997.1;1'009.2;1'009.2;1'009.2;1'014.8;1'014.8;1'014.8;1'021.2;1'021.2
1'021.2;1'031.5;1'031.5;1'031.5;1'035.2;1'035.2;1'035.2;1'034.8;1'034.8;1'034.8;1'036.4;1'036.4
1'036.4;1'044.0;1'044.0;1'044.0;1'045.6;1'045.6;1'045.6;1'043.9;1'043.9;1'043.9;1'050.7;1'050.7
1'050.7;1'060.1;1'060.1;1'060.1;1'057.8;1'057.8;1'057.8;1'058.9;1'058.9;1'058.9;1'062.1;1'062.1
1'062.1;1'067.8;1'067.8;1'067.8;1'065.7;1'065.7;1'065.7;1'064.6;1'064.6;1'064.6;1'062.2;1'062.2
1'062.2;1'064.4;1'064.4;1'064.4;1'068.5;1'068.5;1'068.5;1'073.7;1'073.7;1'073.7;1'076.7;1'076.7
1'076.7;1'079.1;1'079.1;1'079.1;1'079.7;1'079.7;1'079.7;1'086.2;1'086.2;1'086.2;1'088.5;1'088.5
1'088.5;1'090.2;1'090.2;1'090.2;1'093.0;1'093.0;1'093.0;1'094.0;1'094.0;1'094.0;1'089.3;1'089.3
1'089.3;1'091.2;1'091.2;1'091.2;1'093.1;1'093.1;1'093.1;1'094.6;1'094.6;1'094.6;1'100.7;1'100.7
1'100.7;1'102.5;1'102.5;1'102.5;1'107.1;1'107.1;1'107.1;1'111.9;1'111.9;1'111.9;1'111.0;1'111.0
1'111.0;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
